EntryID,SignFrequency(M),SignType,SelectedFingers,Flexion,MajorLocation,Movement
stethoscope,1.333,SymmetricalOrAlternating,i,4,Head,None
emperor,1.407,OneHanded,imrp,2,Body,Curved
saw,1.571,OneHanded,imrp,7,Neutral,BackAndForth
castle,1.579,SymmetricalOrAlternating,im,5,Neutral,Straight
thief_1,1.588,OneHanded,im,1,Head,Straight
headphones,1.63,SymmetricalOrAlternating,imrp,5,Head,BackAndForth
dart,1.643,OneHanded,i,6,Neutral,BackAndForth
microscope,1.667,SymmetricalOrAlternating,imrp,6,Head,None
hippo,1.692,SymmetricalOrAlternating,p,1,Neutral,BackAndForth
witch,1.739,OneHanded,i,2,Head,Curved
juggle,1.778,SymmetricalOrAlternating,imrp,7,Neutral,Circular
swing,1.8,OneHanded,imrp,1,Neutral,BackAndForth
tornado,1.815,SymmetricalOrAlternating,i,7,Neutral,Straight
blinds_2,1.826,SymmetricalOrAlternating,imrp,1,Neutral,Straight
bowtie,1.903,SymmetricalOrAlternating,im,7,Body,None
pipe,1.909,OneHanded,p,1,Head,BackAndForth
envelope,1.913,OneHanded,imrp,1,Head,Circular
rhino,1.917,OneHanded,p,1,Head,BackAndForth
kangaroo,1.958,SymmetricalOrAlternating,imrp,4,Neutral,BackAndForth
cross,1.967,OneHanded,imrp,5,Neutral,Other
corn_2,2.0,SymmetricalOrAlternating,imrp,5,Head,None
drum,2.0,SymmetricalOrAlternating,i,2,Neutral,BackAndForth
goat,2.037,OneHanded,im,2,Head,Other
mime,2.048,SymmetricalOrAlternating,imrp,4,Body,Circular
rollerskating,2.074,SymmetricalOrAlternating,im,2,Neutral,BackAndForth
silver,2.077,OneHanded,imrp,7,Head,BackAndForth
rope,2.083,AsymmetricalSameHandshape,im,Crossed,Hand,Other
rollerblade,2.111,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
belt,2.13,SymmetricalOrAlternating,im,1,Body,Curved
tie,2.143,OneHanded,im,3,Body,Curved
piano,2.16,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
ego,2.2,OneHanded,p,1,Body,Circular
canoe,2.222,SymmetricalOrAlternating,imrp,7,Neutral,Other
shame,2.231,SymmetricalOrAlternating,imrp,5,Head,Curved
scarf,2.24,AsymmetricalSameHandshape,imrp,3,Body,Other
speakers,2.25,SymmetricalOrAlternating,imrp,6,Neutral,BackAndForth
cigar,2.25,OneHanded,im,Crossed,Head,BackAndForth
magnet,2.25,SymmetricalOrAlternating,m,3,Neutral,Straight
mcdonalds_2,2.259,OneHanded,imrp,4,Neutral,Curved
