EntryID,SignFrequency(M),SelectedFingers,Flexion,Movement
peg,1.192,i,4,Other
stethoscope,1.333,i,4,None
emperor,1.407,imrp,2,Curved
parachute,1.548,imrp,7,Straight
saw,1.571,imrp,7,BackAndForth
castle,1.579,im,5,Straight
thief_1,1.588,im,1,Straight
headphones,1.63,imrp,5,BackAndForth
coins,1.632,imrp,4,None
dart,1.643,i,6,BackAndForth
sail,1.652,imrp,3,Straight
microscope,1.667,imrp,6,None
hippo,1.692,p,1,BackAndForth
pop,1.696,i,6,BackAndForth
violin,1.72,i,6,BackAndForth
witch,1.739,i,2,Curved
juggle,1.778,imrp,7,Circular
swing,1.8,imrp,1,BackAndForth
tornado,1.815,i,7,Straight
blinds_2,1.826,imrp,1,Straight
drown,1.875,imrp,7,Curved
tail,1.875,i,6,BackAndForth
skateboarding,1.893,im,Stacked,None
bowtie,1.903,im,7,None
pipe,1.909,p,1,BackAndForth
envelope,1.913,imrp,1,Circular
rhino,1.917,p,1,BackAndForth
kangaroo,1.958,imrp,4,BackAndForth
cross,1.967,imrp,5,Other
corn_2,2.0,imrp,5,None
pineapple,2.0,i,5,None
drum,2.0,i,2,BackAndForth
kite,2.037,imrp,1,Other
goat,2.037,im,2,Other
pool_game,2.038,i,7,BackAndForth
mime,2.048,imrp,4,Circular
rollerskating,2.074,im,2,BackAndForth
silver,2.077,imrp,7,BackAndForth
rope,2.083,im,Crossed,Other
rollerblade,2.111,imrp,1,BackAndForth
worm,2.125,i,1,Straight
belt,2.13,im,1,Curved
tie,2.143,im,3,Curved
piano,2.16,imrp,1,BackAndForth
metaphor,2.167,i,2,Curved
engagement,2.2,im,2,Circular
ego,2.2,p,1,Circular
blinds_1,2.2,imrp,1,None
canoe,2.222,imrp,7,Other
shame,2.231,imrp,5,Curved
rake,2.231,imrp,5,Circular
scarf,2.24,imrp,3,Other
speakers,2.25,imrp,6,BackAndForth
cigar,2.25,im,Crossed,BackAndForth
magnet,2.25,m,3,Straight
mcdonalds_2,2.259,imrp,4,Curved
mustache,2.261,i,4,BackAndForth
steak,2.261,i,4,None
egypt,2.276,i,2,BackAndForth
windmill,2.286,im,1,None
drawer,2.286,imrp,5,BackAndForth
crawl,2.296,im,2,Straight
downsize_1,2.308,i,1,Straight
israel,2.32,p,1,BackAndForth
dinosaur,2.333,imrp,4,BackAndForth
bowling,2.346,imrp,5,BackAndForth
helmet,2.36,imrp,5,Curved
dive,2.37,im,3,Curved
tobacco,2.37,imrp,4,None
binoculars,2.375,imrp,5,None
tennis,2.387,i,7,Other
jelly,2.391,p,1,None
foreigner_1,2.407,imrp,1,Circular
iron,2.423,imrp,7,BackAndForth
greece,2.429,i,3,BackAndForth
curtain,2.444,imrp,1,Other
meat,2.474,imrp,4,None
sew,2.48,i,6,Circular
helicopter,2.481,imrp,1,Straight
thanksgiving,2.481,im,1,BackAndForth
shave,2.5,imrp,7,BackAndForth
dolphin,2.5,im,Crossed,BackAndForth
hunt,2.5,im,1,BackAndForth
hammer,2.5,i,7,BackAndForth
turkey,2.5,i,4,Other
pepsi,2.5,p,1,BackAndForth
museum,2.517,imrp,4,Curved
crocodile,2.519,imrp,2,BackAndForth
verb,2.522,im,1,BackAndForth
strawberry,2.524,i,6,BackAndForth
fraud,2.526,i,1,BackAndForth
sneeze,2.533,im,7,Straight
kneel,2.533,im,2,None
magic,2.538,imrp,5,None
priest,2.538,i,4,BackAndForth
perfume,2.556,p,1,Curved
papercutter,2.56,imrp,1,Circular
cheat_2,2.56,ip,1,BackAndForth
revenge,2.56,i,6,Curved
japan,2.565,i,3,BackAndForth
french,2.571,i,6,None
faucet,2.577,imrp,5,BackAndForth
radio,2.581,imrp,5,None
gorilla,2.593,imrp,7,BackAndForth
pillow,2.593,imrp,1,None
diamond,2.613,mrp,6,BackAndForth
monkey,2.619,imrp,5,None
nephew,2.621,im,4,None
guitar,2.63,imrp,2,BackAndForth
preacher,2.63,i,6,BackAndForth
rat,2.63,im,Crossed,BackAndForth
giraffe,2.636,imrp,5,Straight
fox,2.64,i,6,None
inject,2.654,i,1,Straight
freckles,2.667,imrp,5,BackAndForth
rooster,2.667,im,1,BackAndForth
dentist,2.677,imrp,7,BackAndForth
parade,2.68,imrp,3,BackAndForth
clown,2.68,imrp,5,None
leaf,2.68,i,1,Straight
glow,2.696,m,3,BackAndForth
whip,2.696,i,2,BackAndForth
ear,2.704,i,6,BackAndForth
clock,2.704,i,1,None
pirate,2.72,imrp,1,BackAndForth
rabbit,2.724,im,1,None
plunger,2.727,imrp,7,BackAndForth
think_over,2.731,i,1,Circular
owl,2.731,imrp,6,BackAndForth
frog,2.731,im,7,BackAndForth
mechanic_2,2.741,im,1,None
stamp,2.762,im,1,Straight
mascara,2.769,i,1,None
squirrel,2.8,im,2,BackAndForth
skate,2.8,i,2,BackAndForth
mock,2.8,ip,1,Straight
penny,2.808,i,3,Straight
drill,2.808,i,1,Straight
recording,2.84,m,3,Circular
cocacola,2.846,thumb,1,None
eagle,2.846,i,2,BackAndForth
corkscrew,2.85,imrp,7,BackAndForth
balloon,2.852,imrp,7,Straight
shirt,2.867,i,6,BackAndForth
basement,2.867,thumb,1,Circular
gloves,2.885,imrp,1,BackAndForth
fly,2.885,imrp,1,None
cabinet,2.9,imrp,5,BackAndForth
arm,2.9,imrp,5,Other
fireman,2.913,imrp,1,BackAndForth
desert,2.917,i,5,Straight
flashlight,2.92,m,6,None
italy,2.92,i,5,BackAndForth
catholic,2.92,im,1,Other
lobster,2.923,imrp,5,None
screwdriver,2.923,im,1,None
germany,2.926,imrp,1,None
whistle,2.926,im,2,BackAndForth
channel,2.933,imrp,5,None
boots,2.933,imrp,1,BackAndForth
foreigner_2,2.933,i,6,Circular
knitting,2.958,i,1,None
crazy,2.962,i,1,Circular
paintbrush,2.963,im,1,BackAndForth
tear,2.967,i,1,Straight
comb,3.0,imrp,5,BackAndForth
wolf,3.0,imrp,3,Curved
wink,3.0,i,3,None
pepper,3.0,i,6,BackAndForth
bridesmaid,3.0,imrp,7,BackAndForth
sing,3.0,imrp,1,BackAndForth
hockey,3.0,i,2,Circular
benefit,3.0,i,6,BackAndForth
jigsaw_puzzle,3.0,thumb,1,BackAndForth
haircut,3.0,im,1,Curved
trophy,3.0,p,1,BackAndForth
surf,3.032,im,2,BackAndForth
1_dollar,3.034,imrp,7,BackAndForth
lightning,3.038,i,1,BackAndForth
loyal,3.038,i,3,Circular
china,3.038,i,1,None
pliers,3.04,imrp,5,BackAndForth
king,3.067,im,Stacked,Curved
steal,3.067,im,1,Straight
necklace,3.074,i,1,Curved
underwear,3.08,i,1,BackAndForth
lawnmower,3.08,imrp,7,BackAndForth
tiger,3.097,imrp,1,BackAndForth
snow,3.097,imrp,1,Straight
france,3.111,i,6,Circular
volleyball,3.111,m,6,BackAndForth
russia,3.111,i,1,Other
bear,3.115,imrp,1,BackAndForth
indian,3.138,thumb,1,None
download,3.138,mrp,6,Straight
europe,3.138,imrp,2,Circular
surgeon,3.148,thumb,1,Straight
ski,3.148,i,2,BackAndForth
zipper,3.148,imrp,7,BackAndForth
electrician,3.148,i,2,BackAndForth
island,3.161,p,1,Circular
angel,3.167,imrp,1,None
disney,3.167,m,6,None
bone,3.167,im,2,BackAndForth
shovel,3.167,imrp,7,Other
cloud_1,3.167,imrp,2,Circular
ring,3.174,i,6,BackAndForth
measure,3.179,p,1,None
fishing,3.185,i,2,BackAndForth
dancer,3.185,im,1,BackAndForth
pretend,3.192,i,1,BackAndForth
spider,3.192,imrp,5,Straight
humble,3.2,i,1,None
hairdryer,3.2,i,1,BackAndForth
river,3.2,imr,1,None
sheep,3.222,im,1,Circular
dice,3.222,imrp,7,BackAndForth
gold,3.231,i,1,None
mouth,3.233,i,1,Circular
beat,3.24,imrp,7,Straight
bra,3.24,i,1,BackAndForth
accountant,3.24,i,6,Circular
shiny,3.259,m,3,BackAndForth
sweep,3.259,imrp,1,Circular
elephant,3.259,imrp,1,Other
chicago,3.259,imrp,5,Other
furniture,3.261,i,6,BackAndForth
jewish,3.267,imrp,3,BackAndForth
church,3.267,imrp,5,BackAndForth
concept,3.273,imrp,5,Straight
carrot,3.296,imrp,7,None
cake,3.296,imrp,5,Straight
beard,3.3,imrp,5,Curved
blind,3.32,im,5,Curved
lion,3.32,imrp,2,Curved
thin,3.333,p,1,Straight
golf,3.333,i,2,Curved
doll,3.333,i,2,BackAndForth
heaven,3.333,imrp,3,Other
dryer,3.333,i,1,Straight
devil,3.355,im,1,None
shrimp,3.357,i,1,Straight
deer,3.36,imrp,1,BackAndForth
mouse,3.36,i,1,None
cigarette,3.367,ip,1,BackAndForth
duck,3.37,im,4,None
fire,3.4,imrp,1,Circular
same_2,3.4,i,1,BackAndForth
call_tty,3.4,i,2,Straight
snake,3.4,im,2,BackAndForth
diaper,3.407,im,1,BackAndForth
gun,3.407,thumb,1,None
cloud_2,3.407,imrp,5,Circular
pile,3.417,imrp,5,Curved
scroll_down,3.423,i,2,Straight
stir,3.423,i,2,Circular
cover_up,3.429,imrp,1,Straight
gullible,3.433,i,1,Curved
center,3.433,imrp,1,BackAndForth
jealous,3.433,p,3,Circular
smoking,3.433,im,1,BackAndForth
spoon,3.44,im,1,BackAndForth
sunset,3.44,imrp,5,Curved
queen,3.44,i,4,Curved
biology,3.444,imrp,1,Circular
vomit,3.444,imrp,1,Curved
kill,3.444,i,4,Straight
promote,3.462,imrp,4,Curved
engineer,3.48,p,1,None
heart,3.48,m,3,Curved
wave,3.48,imrp,1,BackAndForth
bracelet,3.48,i,5,BackAndForth
lighter,3.481,thumb,1,None
percent,3.483,imrp,6,Other
prison,3.5,imrp,1,BackAndForth
cough,3.5,imrp,7,Circular
forever,3.5,i,1,None
upload,3.5,im,1,Curved
prayer,3.5,imrp,1,BackAndForth
horse,3.516,im,1,None
scientist,3.516,thumb,1,Circular
prefer,3.52,imrp,3,Straight
about_2,3.522,i,1,Circular
protection,3.533,imrp,1,BackAndForth
guilty,3.538,i,4,BackAndForth
try,3.542,imrp,7,Curved
wander,3.548,i,1,BackAndForth
temptation,3.552,i,1,BackAndForth
umbrella,3.556,imrp,7,BackAndForth
push,3.556,imrp,1,Straight
deep,3.567,i,4,Straight
skirt,3.567,imrp,1,Curved
point,3.577,i,3,BackAndForth
pie,3.581,imrp,1,Other
peach,3.581,imrp,3,None
stomach,3.586,imrp,3,BackAndForth
metal,3.593,i,2,BackAndForth
coconut,3.593,imrp,5,BackAndForth
canada,3.6,imrp,7,BackAndForth
blood,3.6,i,1,None
peace,3.6,imrp,1,Other
earth,3.6,m,5,BackAndForth
throw,3.6,im,7,Straight
