EntryID,SignFrequency(M),SignType,SelectedFingers,Flexion,MajorLocation,Movement
peg,1.192,Other,i,4,Hand,Other
stethoscope,1.333,SymmetricalOrAlternating,i,4,Head,None
emperor,1.407,OneHanded,imrp,2,Body,Curved
parachute,1.548,Other,imrp,7,Hand,Straight
saw,1.571,OneHanded,imrp,7,Neutral,BackAndForth
castle,1.579,SymmetricalOrAlternating,im,5,Neutral,Straight
thief_1,1.588,OneHanded,im,1,Head,Straight
headphones,1.63,SymmetricalOrAlternating,imrp,5,Head,BackAndForth
coins,1.632,AsymmetricalDifferentHandshape,imrp,4,Hand,None
dart,1.643,OneHanded,i,6,Neutral,BackAndForth
sail,1.652,AsymmetricalDifferentHandshape,imrp,3,Neutral,Straight
microscope,1.667,SymmetricalOrAlternating,imrp,6,Head,None
hippo,1.692,SymmetricalOrAlternating,p,1,Neutral,BackAndForth
pop,1.696,AsymmetricalDifferentHandshape,i,6,Hand,BackAndForth
violin,1.72,AsymmetricalSameHandshape,i,6,Arm,BackAndForth
witch,1.739,OneHanded,i,2,Head,Curved
juggle,1.778,SymmetricalOrAlternating,imrp,7,Neutral,Circular
swing,1.8,OneHanded,imrp,1,Neutral,BackAndForth
tornado,1.815,SymmetricalOrAlternating,i,7,Neutral,Straight
blinds_2,1.826,SymmetricalOrAlternating,imrp,1,Neutral,Straight
drown,1.875,AsymmetricalDifferentHandshape,imrp,7,Hand,Curved
tail,1.875,OneHanded,i,6,Other,BackAndForth
skateboarding,1.893,AsymmetricalDifferentHandshape,im,Stacked,Hand,None
bowtie,1.903,SymmetricalOrAlternating,im,7,Body,None
pipe,1.909,OneHanded,p,1,Head,BackAndForth
envelope,1.913,OneHanded,imrp,1,Head,Circular
rhino,1.917,OneHanded,p,1,Head,BackAndForth
kangaroo,1.958,SymmetricalOrAlternating,imrp,4,Neutral,BackAndForth
cross,1.967,OneHanded,imrp,5,Neutral,Other
corn_2,2.0,SymmetricalOrAlternating,imrp,5,Head,None
pineapple,2.0,AsymmetricalDifferentHandshape,i,5,Hand,None
drum,2.0,SymmetricalOrAlternating,i,2,Neutral,BackAndForth
kite,2.037,AsymmetricalDifferentHandshape,imrp,1,Neutral,Other
goat,2.037,OneHanded,im,2,Head,Other
pool_game,2.038,Other,i,7,Neutral,BackAndForth
mime,2.048,SymmetricalOrAlternating,imrp,4,Body,Circular
rollerskating,2.074,SymmetricalOrAlternating,im,2,Neutral,BackAndForth
silver,2.077,OneHanded,imrp,7,Head,BackAndForth
rope,2.083,AsymmetricalSameHandshape,im,Crossed,Hand,Other
rollerblade,2.111,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
worm,2.125,AsymmetricalDifferentHandshape,i,1,Hand,Straight
belt,2.13,SymmetricalOrAlternating,im,1,Body,Curved
tie,2.143,OneHanded,im,3,Body,Curved
piano,2.16,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
metaphor,2.167,AsymmetricalDifferentHandshape,i,2,Hand,Curved
engagement,2.2,AsymmetricalDifferentHandshape,im,2,Hand,Circular
ego,2.2,OneHanded,p,1,Body,Circular
blinds_1,2.2,AsymmetricalDifferentHandshape,imrp,1,Neutral,None
canoe,2.222,SymmetricalOrAlternating,imrp,7,Neutral,Other
shame,2.231,SymmetricalOrAlternating,imrp,5,Head,Curved
rake,2.231,AsymmetricalDifferentHandshape,imrp,5,Hand,Circular
scarf,2.24,AsymmetricalSameHandshape,imrp,3,Body,Other
speakers,2.25,SymmetricalOrAlternating,imrp,6,Neutral,BackAndForth
cigar,2.25,OneHanded,im,Crossed,Head,BackAndForth
magnet,2.25,SymmetricalOrAlternating,m,3,Neutral,Straight
mcdonalds_2,2.259,OneHanded,imrp,4,Neutral,Curved
mustache,2.261,SymmetricalOrAlternating,i,4,Head,BackAndForth
steak,2.261,AsymmetricalDifferentHandshape,i,4,Hand,None
egypt,2.276,OneHanded,i,2,Head,BackAndForth
windmill,2.286,AsymmetricalDifferentHandshape,im,1,Hand,None
drawer,2.286,SymmetricalOrAlternating,imrp,5,Neutral,BackAndForth
crawl,2.296,AsymmetricalDifferentHandshape,im,2,Hand,Straight
downsize_1,2.308,SymmetricalOrAlternating,i,1,Neutral,Straight
israel,2.32,OneHanded,p,1,Head,BackAndForth
dinosaur,2.333,AsymmetricalDifferentHandshape,imrp,4,Neutral,BackAndForth
bowling,2.346,OneHanded,imrp,5,Neutral,BackAndForth
helmet,2.36,SymmetricalOrAlternating,imrp,5,Head,Curved
dive,2.37,AsymmetricalDifferentHandshape,im,3,Hand,Curved
tobacco,2.37,OneHanded,imrp,4,Head,None
binoculars,2.375,SymmetricalOrAlternating,imrp,5,Head,None
tennis,2.387,OneHanded,i,7,Neutral,Other
jelly,2.391,AsymmetricalDifferentHandshape,p,1,Hand,None
foreigner_1,2.407,OneHanded,imrp,1,Arm,Circular
iron,2.423,AsymmetricalDifferentHandshape,imrp,7,Hand,BackAndForth
greece,2.429,OneHanded,i,3,Head,BackAndForth
curtain,2.444,SymmetricalOrAlternating,imrp,1,Neutral,Other
meat,2.474,AsymmetricalDifferentHandshape,imrp,4,Hand,None
sew,2.48,AsymmetricalSameHandshape,i,6,Hand,Circular
helicopter,2.481,AsymmetricalDifferentHandshape,imrp,1,Hand,Straight
thanksgiving,2.481,OneHanded,im,1,Head,BackAndForth
shave,2.5,OneHanded,imrp,7,Head,BackAndForth
dolphin,2.5,AsymmetricalDifferentHandshape,im,Crossed,Arm,BackAndForth
hunt,2.5,SymmetricalOrAlternating,im,1,Neutral,BackAndForth
hammer,2.5,OneHanded,i,7,Neutral,BackAndForth
turkey,2.5,OneHanded,i,4,Head,Other
pepsi,2.5,OneHanded,p,1,Head,BackAndForth
